iter	RMSE
0	17.77097937
1	17.46564703
2	17.1821381
3	16.88358563
4	16.64956704
5	16.41948526
6	16.21480848
7	16.00440545
8	15.79166705
9	15.62743891
10	15.41984865
11	15.25318586
12	15.09358039
13	14.89556078
14	14.75803988
15	14.61940762
16	14.46290575
17	14.35340657
18	14.22472631
19	14.0762399
20	13.98940715
21	13.88868328
22	13.7605967
23	13.60778507
24	13.51135538
25	13.41120375
26	13.33667605
27	13.24679681
28	13.14821039
29	13.06685157
30	12.9931973
31	12.91545699
32	12.85024108
33	12.77910098
34	12.69883272
35	12.64543055
36	12.57355033
37	12.50482969
38	12.4586989
39	12.41189199
40	12.34110505
41	12.2772915
42	12.23512232
43	12.17472058
44	12.13902337
45	12.09038867
46	12.0561382
47	12.0159096
48	11.98300172
49	11.93574694
50	11.88554483
51	11.85527523
52	11.82453053
53	11.79611238
54	11.75080163
55	11.70410372
56	11.66475373
57	11.62664221
58	11.59272084
59	11.55950981
60	11.53058287
61	11.49788935
62	11.46469449
63	11.43119124
64	11.39431565
65	11.3656452
66	11.34308052
67	11.31388176
68	11.29264039
69	11.27744018
70	11.23998642
71	11.22709916
72	11.20744309
73	11.18588081
74	11.16211549
75	11.14680352
76	11.11738332
77	11.10157521
78	11.08289451
79	11.06854996
80	11.04106459
81	11.02730981
82	11.0104862
83	10.99382949
84	10.98022383
85	10.96403914
86	10.94520091
87	10.93496823
88	10.91831934
89	10.89419336
90	10.88222701
91	10.87026767
92	10.85797124
93	10.84619367
94	10.83610563
95	10.82384756
96	10.81229507
97	10.80408678
98	10.7855969
99	10.77254902
100	10.75872504
101	10.74384019
102	10.73606313
103	10.72788346
104	10.70625447
105	10.69326468
106	10.6812881
107	10.67196001
108	10.66342364
109	10.64382131
110	10.63109406
111	10.61897808
112	10.61130346
113	10.59539843
114	10.58727878
115	10.57896038
116	10.57259349
117	10.5654704
118	10.55480395
119	10.54659338
120	10.53996764
121	10.53226052
122	10.52896812
123	10.50857909
124	10.50119857
125	10.49161459
126	10.47804025
127	10.46216843
128	10.45292669
129	10.44143945
130	10.43505769
131	10.42233181
132	10.41039377
133	10.40184712
134	10.39363267
135	10.38278233
136	10.37594517
137	10.36019272
138	10.35103413
139	10.34267303
140	10.33041235
141	10.32362176
142	10.3168085
143	10.30573925
144	10.29663421
145	10.28305859
146	10.27548555
147	10.26746015
148	10.25702562
149	10.24518737
150	10.23740384
151	10.22758609
152	10.22245871
153	10.21541921
154	10.20016165
155	10.19244229
156	10.1837429
157	10.17737976
158	10.17044296
159	10.15688429
160	10.15146975
161	10.14475383
162	10.13784369
163	10.13326074
164	10.12693514
165	10.12050688
166	10.11348611
167	10.10451163
168	10.09808988
169	10.09166275
170	10.08550335
171	10.07684425
172	10.06800035
173	10.05290845
174	10.04654548
175	10.03383875
176	10.02662333
177	10.01894656
178	10.00351483
179	9.994815757
180	9.987389836
181	9.979091719
182	9.968618949
183	9.961001815
184	9.954236319
185	9.946321157
186	9.937207434
187	9.928449235
188	9.920066429
189	9.91342061
190	9.905973942
191	9.898937565
192	9.893358307
193	9.886284444
194	9.881282333
195	9.874692068
196	9.867243366
197	9.857530251
198	9.85132948
199	9.845463492
200	9.83729405
201	9.828442951
202	9.821968545
203	9.810339228
204	9.803192086
205	9.794172323
206	9.786547319
207	9.778783573
208	9.773827771
209	9.768099738
210	9.763560892
211	9.756511785
212	9.751369432
213	9.745814577
214	9.738775191
215	9.730473506
216	9.724807849
217	9.718508378
218	9.713631563
219	9.708920518
220	9.704035189
221	9.698846506
222	9.693900347
223	9.688623865
224	9.682440265
225	9.674169138
226	9.666138321
227	9.660883392
228	9.653536363
229	9.64772547
230	9.637663862
231	9.631291265
232	9.627426182
233	9.619452394
234	9.612913667
235	9.606423727
236	9.601231495
237	9.596732377
238	9.592303699
239	9.587603253
