iter	Passed	Remaining
0	2	2452
1	5	2683
2	7	2393
3	9	2259
4	10	2174
5	12	2132
6	14	2119
7	16	2090
8	18	2030
9	20	2050
10	22	2016
11	24	1991
12	26	1977
13	27	1971
14	29	1966
15	31	1960
16	33	1951
17	36	1967
18	38	1968
19	40	1969
20	42	1967
21	44	1974
22	46	1983
23	49	1994
24	50	1985
25	52	1969
26	54	1956
27	56	1953
28	58	1955
29	60	1958
30	62	1951
31	64	1945
32	66	1944
33	68	1939
34	70	1932
35	72	1929
36	74	1928
37	76	1924
38	77	1921
39	79	1915
40	81	1911
41	83	1902
42	85	1902
43	87	1907
44	89	1906
45	91	1907
46	93	1903
47	95	1898
48	97	1895
49	99	1890
50	101	1888
51	103	1886
52	105	1886
53	107	1880
54	109	1882
55	111	1880
56	113	1882
57	115	1878
58	117	1874
59	119	1871
60	121	1872
61	123	1868
62	125	1868
63	127	1868
64	129	1867
65	131	1864
66	133	1861
67	135	1858
68	137	1861
69	139	1854
70	141	1851
71	143	1852
72	145	1847
73	147	1847
74	149	1843
75	151	1845
76	153	1844
77	155	1842
78	157	1840
79	159	1837
80	161	1831
81	164	1838
82	166	1834
83	168	1832
84	170	1837
85	172	1834
86	174	1830
87	176	1828
88	178	1828
89	181	1832
90	183	1828
91	185	1826
92	186	1822
93	188	1821
94	190	1819
95	192	1816
96	194	1813
97	196	1812
98	199	1811
99	201	1810
100	204	1815
101	205	1813
102	207	1811
103	209	1807
104	211	1805
105	213	1800
106	215	1796
107	217	1793
108	219	1790
109	220	1787
110	223	1786
111	224	1782
112	226	1781
113	228	1777
114	230	1774
115	232	1770
116	234	1767
117	236	1767
118	238	1765
119	240	1763
120	242	1763
121	244	1761
122	246	1759
123	248	1756
124	250	1752
125	252	1749
126	254	1748
127	256	1747
128	258	1746
129	260	1744
130	262	1741
131	264	1740
132	266	1738
133	268	1735
134	270	1731
135	272	1728
136	273	1724
137	275	1723
138	277	1721
139	280	1720
140	282	1719
141	284	1717
142	286	1716
143	288	1714
144	290	1712
145	293	1715
146	295	1712
147	297	1709
148	298	1707
149	301	1706
150	302	1703
151	305	1702
152	307	1700
153	309	1697
154	311	1695
155	313	1697
156	315	1694
157	317	1691
158	319	1691
159	321	1689
160	323	1687
161	325	1683
162	327	1681
163	329	1679
164	331	1677
165	333	1675
166	335	1672
167	337	1672
168	339	1670
169	341	1666
170	343	1665
171	345	1662
172	347	1660
173	349	1658
174	351	1655
175	353	1655
176	355	1652
